"","Aphanopetalum_resinosum","Cercidiphyllum_japonicum","Cotyledon_tomentosa","Cynomorium_songaricum","Daphniphyllum_calycinum","Itea_omeiensis","Kalanchoe_fedtschenkoi","Paeonia_anomala_subsp_Veitchii","Paeonia_delavayi","Penthorum_chinense","Ribes_takare","Vitis_vinifera","12|34","13|24","14|23","p_T3","p_star"
"51",1,0,1,1,0,0,0,0,0,1,0,0,8,10,216,0.637004118349747,2.94056668071213e-80
"52",1,0,1,1,0,0,0,0,0,0,1,0,203,19,31,0.0881240879089397,2.67006031832277e-55
"53",1,0,1,1,0,0,0,0,0,0,0,1,244,25,29,0.586042111438298,2.273508963156e-69
"54",1,0,1,0,1,1,0,0,0,0,0,0,233,15,21,0.316179379818239,2.1241283467413e-75
"55",1,0,1,0,1,0,1,0,0,0,0,0,5,171,5,1,7.61490345461113e-67
"56",1,0,1,0,1,0,0,1,0,0,0,0,256,10,13,0.531029283054963,8.60786362777038e-94
"57",1,0,1,0,1,0,0,0,1,0,0,0,262,9,10,0.818504610516853,2.89413354392566e-99
"58",1,0,1,0,1,0,0,0,0,1,0,0,9,9,232,1,4.09146497485046e-87
"59",1,0,1,0,1,0,0,0,0,0,1,0,229,18,22,0.526743780207247,2.87494145020808e-71
"60",1,0,1,0,1,0,0,0,0,0,0,1,272,25,19,0.364964902121413,1.16423571479903e-86
"61",1,0,1,0,0,1,1,0,0,0,0,0,3,214,7,0.19955034224882,1.93807883312459e-85
"62",1,0,1,0,0,1,0,1,0,0,0,0,290,25,25,1,1.99080827060269e-90
"63",1,0,1,0,0,1,0,0,1,0,0,0,300,23,22,0.881492610722259,1.15264392438061e-97
"64",1,0,1,0,0,1,0,0,0,1,0,0,10,15,279,0.315675625467319,3.24196453945444e-102
"65",1,0,1,0,0,1,0,0,0,0,1,0,314,11,11,1,2.15233788066698e-119
"66",1,0,1,0,0,1,0,0,0,0,0,1,324,33,27,0.43819520260265,1.6311358512847e-98
"67",1,0,1,0,0,0,1,1,0,0,0,0,3,6,226,0.359,2.07713209810895e-91
"68",1,0,1,0,0,0,1,0,1,0,0,0,3,6,236,0.359,9.74486379547921e-96
"69",1,0,1,0,0,0,1,0,0,1,0,0,3,1,208,0.439,1.15135651597961e-87
"70",1,0,1,0,0,0,1,0,0,0,1,0,5,4,220,0.79,8.42283642340939e-89
"71",1,0,1,0,0,0,1,0,0,0,0,1,7,6,260,0.781406071898767,5.87473047735113e-103
"72",1,0,1,0,0,0,0,1,1,0,0,0,361,8,4,0.243676760795462,1.78461798903101e-147
"73",1,0,1,0,0,0,0,1,0,1,0,0,11,14,294,0.548024002331103,1.28366973791051e-108
"74",1,0,1,0,0,0,0,1,0,0,1,0,305,29,23,0.404857215091817,1.87374064097221e-95
"75",1,0,1,0,0,0,0,1,0,0,0,1,352,36,24,0.120080756269344,3.90411112389272e-110
"76",1,0,1,0,0,0,0,0,1,1,0,0,9,11,298,0.654450842462066,5.23348790800683e-114
"77",1,0,1,0,0,0,0,0,1,0,1,0,310,27,20,0.306327040106137,1.2627592597859e-100
"78",1,0,1,0,0,0,0,0,1,0,0,1,361,33,22,0.136682860225904,6.19120017491581e-117
"79",1,0,1,0,0,0,0,0,0,1,1,0,9,291,12,0.511968739556565,2.95186493634819e-110
"80",1,0,1,0,0,0,0,0,0,1,0,1,11,335,14,0.548024002331103,3.32251397328317e-126
"81",1,0,1,0,0,0,0,0,0,0,1,1,340,33,27,0.43819520260265,4.27992191117535e-105
"82",1,0,0,1,1,1,0,0,0,0,0,0,95,49,154,0.000110091961413102,7.72409345625283e-13
"83",1,0,0,1,1,0,1,0,0,0,0,0,11,18,169,0.191444993437087,3.64948362965931e-53
"84",1,0,0,1,1,0,0,1,0,0,0,0,221,41,41,1,3.63571685788121e-47
"85",1,0,0,1,1,0,0,0,1,0,0,0,231,38,34,0.63726522778508,3.02686263569678e-55
"86",1,0,0,1,1,0,0,0,0,1,0,0,7,3,257,0.19955034224882,4.86083008126678e-104
"87",1,0,0,1,1,0,0,0,0,0,1,0,92,45,162,4.97847285012404e-05,7.86244222523623e-16
"88",1,0,0,1,1,0,0,0,0,0,0,1,160,119,68,0.000173586478175337,1.05620944917759e-08
"89",1,0,0,1,0,1,1,0,0,0,0,0,15,24,197,0.147707579423276,8.1176922683705e-59
"90",1,0,0,1,0,1,0,1,0,0,0,0,101,186,67,0.00848223815790394,1.48766570576844e-14
"91",1,0,0,1,0,1,0,0,1,0,0,0,108,184,70,0.00424683590566978,7.47044280541304e-13
"92",1,0,0,1,0,1,0,0,0,1,0,0,8,6,299,0.592346843601369,4.89931654538075e-119
"93",1,0,0,1,0,1,0,0,0,0,1,0,316,15,21,0.316179379818239,2.51825140759858e-110
"94",1,0,0,1,0,1,0,0,0,0,0,1,111,217,80,0.0245727363665351,3.30493620033535e-17
"95",1,0,0,1,0,0,1,1,0,0,0,0,9,201,29,0.000874593930814573,1.83733892371565e-61
"96",1,0,0,1,0,0,1,0,1,0,0,0,13,205,27,0.0252698240368611,1.17799415287837e-61
"97",1,0,0,1,0,0,1,0,0,1,0,0,10,6,197,0.314737612534451,1.38839500632036e-73
"98",1,0,0,1,0,0,1,0,0,0,1,0,13,199,25,0.0495944053476904,2.69271133607306e-60
"99",1,0,0,1,0,0,1,0,0,0,0,1,17,238,26,0.168333035720411,2.90769152329602e-73
"100",1,0,0,1,0,0,0,1,1,0,0,0,368,9,6,0.437031079907843,4.23408892737644e-148
"101",1,0,0,1,0,0,0,1,0,1,0,0,3,8,308,0.124619045841523,2.4865865808253e-125
"102",1,0,0,1,0,0,0,1,0,0,1,0,104,66,194,0.00342439494257496,3.40749314388369e-16
"103",1,0,0,1,0,0,0,1,0,0,0,1,182,145,97,0.00193643587460109,2.62241451402037e-06
"104",1,0,0,1,0,0,0,0,1,1,0,0,6,6,312,1,3.0824406969491e-126
"105",1,0,0,1,0,0,0,0,1,0,1,0,107,68,190,0.00307091252847041,1.38625000157797e-14
"106",1,0,0,1,0,0,0,0,1,0,0,1,191,147,93,0.000461508018347136,5.20895427069905e-08
"107",1,0,0,1,0,0,0,0,0,1,1,0,5,312,6,0.762865814454578,4.87005666160679e-127
"108",1,0,0,1,0,0,0,0,0,1,0,1,8,357,4,0.243676760795462,9.64900181788472e-146
"109",1,0,0,1,0,0,0,0,0,0,1,1,111,224,82,0.0364897933048215,2.58604271032869e-18
"110",1,0,0,0,1,1,1,0,0,0,0,0,9,19,249,0.056018066743612,1.98558567462011e-87
"111",1,0,0,0,1,1,0,1,0,0,0,0,20,343,37,0.0232710408557236,2.36715791452433e-108
"112",1,0,0,0,1,1,0,0,1,0,0,0,19,358,27,0.236990220754592,2.03263078197486e-121
"113",1,0,0,0,1,1,0,0,0,1,0,0,4,7,345,0.362666387278682,2.41280566564808e-141
"114",1,0,0,0,1,1,0,0,0,0,1,0,373,16,17,0.861793961088229,1.12145487107979e-136
"115",1,0,0,0,1,1,0,0,0,0,0,1,63,303,95,0.0106304446868048,1.01662902108515e-48
"116",1,0,0,0,1,0,1,1,0,0,0,0,4,261,10,0.103122342203836,1.17569716501791e-102
"117",1,0,0,0,1,0,1,0,1,0,0,0,4,261,6,0.525692869122501,9.32492986278744e-106
"118",1,0,0,0,1,0,1,0,0,1,0,0,7,5,232,0.562791464607376,1.21540764162396e-91
"119",1,0,0,0,1,0,1,0,0,0,1,0,9,245,18,0.0803311569926175,2.15683426139351e-86
"120",1,0,0,0,1,0,1,0,0,0,0,1,24,282,11,0.0261476887339082,9.5459482404295e-97
"121",1,0,0,0,1,0,0,1,1,0,0,0,403,11,4,0.0653164199567492,2.77965576870382e-163
"122",1,0,0,0,1,0,0,1,0,1,0,0,1,8,353,0.0209,1.77260674673738e-146
"123",1,0,0,0,1,0,0,1,0,0,1,0,21,41,345,0.0103802480454381,2.96330402254424e-106
"124",1,0,0,0,1,0,0,1,0,0,0,1,46,75,349,0.00806699796321868,3.22109820840041e-78
"125",1,0,0,0,1,0,0,0,1,1,0,0,0,6,353,0.00871,5.95566698966478e-149
"126",1,0,0,0,1,0,0,0,1,0,1,0,20,31,351,0.122012037318662,2.75578848955826e-115
"127",1,0,0,0,1,0,0,0,1,0,0,1,51,64,354,0.224917702661262,2.99085624228459e-82
"128",1,0,0,0,1,0,0,0,0,1,1,0,2,352,7,0.103,5.05630952103287e-146
"129",1,0,0,0,1,0,0,0,0,1,0,1,3,404,6,0.359,1.45742110053776e-168
"130",1,0,0,0,1,0,0,0,0,0,1,1,60,308,96,0.00378735128438732,3.77496634275317e-51
"131",1,0,0,0,0,1,1,1,0,0,0,0,21,298,21,1,9.80012160865316e-99
"132",1,0,0,0,0,1,1,0,1,0,0,0,23,303,18,0.434307569815211,1.66808420912213e-101
"133",1,0,0,0,0,1,1,0,0,1,0,0,12,10,283,0.669600785526579,4.45350750249084e-106
"134",1,0,0,0,0,1,1,0,0,0,1,0,8,331,4,0.243676760795462,1.76263636772016e-134
"135",1,0,0,0,0,1,1,0,0,0,0,1,40,343,15,0.000595045740094276,7.42955345744265e-110
"136",1,0,0,0,0,1,0,1,1,0,0,0,507,8,6,0.592346843601369,4.00713748427344e-209
"137",1,0,0,0,0,1,0,1,0,1,0,0,5,10,430,0.192419436804153,5.886231578912e-175
"138",1,0,0,0,0,1,0,1,0,0,1,0,18,471,21,0.630785289529832,2.52509016045118e-174
"139",1,0,0,0,0,1,0,1,0,0,0,1,368,86,127,0.00483137563475658,8.75425658698133e-53
"140",1,0,0,0,0,1,0,0,1,1,0,0,5,8,434,0.403258825860012,2.70303371625724e-178
"141",1,0,0,0,0,1,0,0,1,0,1,0,17,474,17,1,2.8367326252081e-179
"142",1,0,0,0,0,1,0,0,1,0,0,1,375,88,122,0.0187029872388505,1.72416731368992e-55
"143",1,0,0,0,0,1,0,0,0,1,1,0,2,437,6,0.175,1.02276548693541e-183
"144",1,0,0,0,0,1,0,0,0,1,0,1,6,496,6,1,5.44519670307722e-206
"145",1,0,0,0,0,1,0,0,0,0,1,1,22,24,534,0.768047050890453,2.98286761099045e-196
"146",1,0,0,0,0,0,1,1,1,0,0,0,354,5,0,0.0183,3.25063479914272e-150
"147",1,0,0,0,0,0,1,1,0,1,0,0,8,11,292,0.490389144299793,3.51166365462569e-112
"148",1,0,0,0,0,0,1,1,0,0,1,0,306,24,20,0.546216531720301,8.01323373943516e-101
"149",1,0,0,0,0,0,1,1,0,0,0,1,355,40,13,0.000146108244198229,3.55725234751712e-116
"150",1,0,0,0,0,0,1,0,1,1,0,0,7,8,300,0.796179498309718,1.10022770593111e-118
"151",1,0,0,0,0,0,1,0,1,0,1,0,309,20,20,1,1.16609834112859e-104
"152",1,0,0,0,0,0,1,0,1,0,0,1,360,36,16,0.00495943364651812,1.2335489527175e-118
"153",1,0,0,0,0,0,1,0,0,1,1,0,8,296,9,0.808296141822978,2.04912626447019e-115
"154",1,0,0,0,0,0,1,0,0,1,0,1,10,340,12,0.669600785526579,1.37642217212355e-130
"155",1,0,0,0,0,0,1,0,0,0,1,1,349,41,17,0.00137736605955128,1.86989741461742e-110
"156",1,0,0,0,0,0,0,1,1,1,0,0,5,3,464,0.523,1.99901079533774e-195
"157",1,0,0,0,0,0,0,1,1,0,1,0,9,4,522,0.160071992042434,1.84519634925499e-216
"158",1,0,0,0,0,0,0,1,1,0,0,1,12,5,604,0.0848273393724885,9.36901494648574e-249
"159",1,0,0,0,0,0,0,1,0,1,1,0,9,451,5,0.281685200955597,7.41903248270806e-185
"160",1,0,0,0,0,0,0,1,0,1,0,1,9,516,4,0.160071992042434,7.38135032392783e-214
"161",1,0,0,0,0,0,0,1,0,0,1,1,89,384,130,0.00545734623675866,6.65264130070547e-56
"162",1,0,0,0,0,0,0,0,1,1,1,0,7,450,3,0.19955034224882,1.07057404854763e-187
"163",1,0,0,0,0,0,0,0,1,1,0,1,5,521,3,0.523,3.63583087409607e-220
"164",1,0,0,0,0,0,0,0,1,0,1,1,86,386,128,0.00397160726192024,5.00248802492428e-58
"165",1,0,0,0,0,0,0,0,0,1,1,1,515,6,5,0.762865814454578,4.64961112409699e-215
"166",0,1,1,1,1,0,0,0,0,0,0,0,17,14,246,0.589722756303276,4.88819395911725e-84
"167",0,1,1,1,0,1,0,0,0,0,0,0,51,162,110,2.54173463630854e-06,3.62026557133189e-13
"168",0,1,1,1,0,0,1,0,0,0,0,0,0,219,6,0.00871,7.80873877596457e-91
"169",0,1,1,1,0,0,0,1,0,0,0,0,41,34,230,0.418584763305557,1.52290011297779e-53
"170",0,1,1,1,0,0,0,0,1,0,0,0,35,36,278,0.905528781240219,6.61846994301903e-74
"171",0,1,1,1,0,0,0,0,0,1,0,0,10,255,24,0.0148028103810997,4.54336296239848e-86
"172",0,1,1,1,0,0,0,0,0,0,1,0,48,169,118,3.3971605669761e-08,4.441602349565e-15
"173",0,1,1,1,0,0,0,0,0,0,0,1,105,99,189,0.674401941589691,4.03506157624572e-09
"174",0,1,1,0,1,1,0,0,0,0,0,0,10,316,11,0.827227193583081,5.29206598601444e-121
"175",0,1,1,0,1,0,1,0,0,0,0,0,0,229,4,0.0393,8.53986702410549e-97
"176",0,1,1,0,1,0,0,1,0,0,0,0,41,194,84,0.000102044140775869,3.71490640363453e-26
"177",0,1,1,0,1,0,0,0,1,0,0,0,44,220,99,3.17305842909759e-06,7.98490424568698e-30
"178",0,1,1,0,1,0,0,0,0,1,0,0,6,299,3,0.359,4.974525925092e-123
"179",0,1,1,0,1,0,0,0,0,0,1,0,9,324,13,0.392451231274142,1.03653717009377e-123
"180",0,1,1,0,1,0,0,0,0,0,0,1,21,364,20,0.875889954208957,2.96704369887456e-127
"181",0,1,1,0,0,1,1,0,0,0,0,0,1,279,9,0.00666428442467324,1.28079224788679e-113
"182",0,1,1,0,0,1,0,1,0,0,0,0,19,36,339,0.020822445544216,6.38733387210253e-108
"183",0,1,1,0,0,1,0,0,1,0,0,0,16,31,391,0.027295628044717,8.29879930149444e-135
"184",0,1,1,0,0,1,0,0,0,1,0,0,22,321,23,0.881492610722259,1.86488648489945e-106
"185",0,1,1,0,0,1,0,0,0,0,1,0,384,17,21,0.516023496038908,7.60841355379046e-138
"186",0,1,1,0,0,1,0,0,0,0,0,1,51,115,322,4.8425553964225e-07,2.70008578916044e-54
"187",0,1,1,0,0,0,1,1,0,0,0,0,1,7,261,0.0397,2.09785882623206e-107
"188",0,1,1,0,0,0,1,0,1,0,0,0,1,5,306,0.129,1.54159096939982e-128
"189",0,1,1,0,0,0,1,0,0,1,0,0,4,7,249,0.362666387278682,8.89449349051312e-100
"190",0,1,1,0,0,0,1,0,0,0,1,0,2,3,289,0.737,5.59293276367198e-122
"191",0,1,1,0,0,0,1,0,0,0,0,1,3,4,345,0.768,1.29293196705455e-144
"192",0,1,1,0,0,0,0,1,1,0,0,0,417,3,12,0.016187875273678,2.28046807054189e-169
"193",0,1,1,0,0,0,0,1,0,1,0,0,12,336,10,0.669600785526579,7.26593993094665e-129
"194",0,1,1,0,0,0,0,1,0,0,1,0,21,363,35,0.0599991431035749,3.35860292948988e-117
"195",0,1,1,0,0,0,0,1,0,0,0,1,42,372,67,0.0161606088031419,3.62151702059524e-92
"196",0,1,1,0,0,0,0,0,1,1,0,0,9,373,11,0.654450842462066,2.41020945247442e-146
"197",0,1,1,0,0,0,0,0,1,0,1,0,15,402,38,0.00131544776849886,1.09018803611351e-135
"198",0,1,1,0,0,0,0,0,1,0,0,1,39,430,64,0.0132982132548378,7.6973481243684e-118
"199",0,1,1,0,0,0,0,0,0,1,1,0,23,17,348,0.341870143917762,3.54259003508137e-121
"200",0,1,1,0,0,0,0,0,0,1,0,1,15,30,400,0.0239675519100772,5.71980944529106e-140
"201",0,1,1,0,0,0,0,0,0,0,1,1,56,119,337,1.46208897830106e-06,4.70337733543281e-56
"202",0,1,0,1,1,1,0,0,0,0,0,0,23,318,23,1,1.47576919457305e-104
"203",0,1,0,1,1,0,1,0,0,0,0,0,13,219,14,0.847372420431197,2.78194484387786e-75
"204",0,1,0,1,1,0,0,1,0,0,0,0,41,208,93,5.31910545579618e-06,1.50829382543859e-28
"205",0,1,0,1,1,0,0,0,1,0,0,0,42,235,106,8.85201410407326e-08,1.33051909809899e-33
"206",0,1,0,1,1,0,0,0,0,1,0,0,14,289,19,0.383171688347651,6.64186321665818e-101
"207",0,1,0,1,1,0,0,0,0,0,1,0,19,327,30,0.114530649956055,1.59197805722538e-106
"208",0,1,0,1,1,0,0,0,0,0,0,1,30,379,29,0.896414501737704,7.62795433663872e-122
"209",0,1,0,1,0,1,1,0,0,0,0,0,145,108,47,6.70414044204018e-07,2.31274706342274e-11
"210",0,1,0,1,0,1,0,1,0,0,0,0,36,64,311,0.00481989349567151,2.4931059604161e-73
"211",0,1,0,1,0,1,0,0,1,0,0,0,33,55,366,0.0183882034027738,2.94495990523077e-100
"212",0,1,0,1,0,1,0,0,0,1,0,0,196,114,63,0.000113043148322107,1.87679444906978e-16
"213",0,1,0,1,0,1,0,0,0,0,1,0,407,14,20,0.302215461090678,1.53507659011908e-150
"214",0,1,0,1,0,1,0,0,0,0,0,1,102,187,227,4.57430712867226e-07,5.13754612466084e-11
"215",0,1,0,1,0,0,1,1,0,0,0,0,23,35,211,0.11378936970232,2.22679106409705e-54
"216",0,1,0,1,0,0,1,0,1,0,0,0,23,32,255,0.223872223157424,2.55256538129422e-73
"217",0,1,0,1,0,0,1,0,0,1,0,0,223,14,19,0.383171688347651,4.23837753242677e-73
"218",0,1,0,1,0,0,1,0,0,0,1,0,143,40,120,7.86980155577001e-11,2.69935309407722e-13
"219",0,1,0,1,0,0,1,0,0,0,0,1,71,105,184,0.0101426671281113,6.85701952387499e-13
"220",0,1,0,1,0,0,0,1,1,0,0,0,424,3,12,0.016187875273678,2.1234969638606e-172
"221",0,1,0,1,0,0,0,1,0,1,0,0,34,271,52,0.0513920741322931,2.91925458493802e-64
"222",0,1,0,1,0,0,0,1,0,0,1,0,44,313,69,0.0181977727168953,2.8109789472179e-68
"223",0,1,0,1,0,0,0,1,0,0,0,1,38,383,75,0.000443024649091115,5.76400313212274e-95
"224",0,1,0,1,0,0,0,0,1,1,0,0,30,311,50,0.0245771173875408,1.24118888328031e-82
"225",0,1,0,1,0,0,0,0,1,0,1,0,39,355,68,0.00478490640371455,9.03880040561862e-87
"226",0,1,0,1,0,0,0,0,1,0,0,1,41,433,74,0.00194152376557445,4.06319464641571e-113
"227",0,1,0,1,0,0,0,0,0,1,1,0,214,56,123,3.9896647015847e-07,1.41432638548969e-21
"228",0,1,0,1,0,0,0,0,0,1,0,1,97,151,204,0.000575007119239948,5.61520572690535e-09
"229",0,1,0,1,0,0,0,0,0,0,1,1,104,206,223,3.44280847872741e-09,7.48753040956294e-11
"230",0,1,0,0,1,1,1,0,0,0,0,0,302,11,13,0.682917541503421,9.09252758451398e-113
"231",0,1,0,0,1,1,0,1,0,0,0,0,260,64,114,0.000161277833917237,1.40360228461005e-31
"232",0,1,0,0,1,1,0,0,1,0,0,0,285,65,135,5.6548542726147e-07,1.15437984021097e-34
"233",0,1,0,0,1,1,0,0,0,1,0,0,384,13,8,0.272924054568908,2.43870620009062e-150
